word,frequency,probability
knowledge,303,0.022215704963707016
true,130,0.009531490578488159
sense-data,116,0.00850502236234328
object,102,0.007478554146198402
physical,101,0.007405234987902339
belief,99,0.007258596671310213
gutenberg,97,0.007111958354718088
objects,94,0.0068920008798299
relation,92,0.006745362563237774
sense,91,0.006672043404941711
project,89,0.006525405088349586
truth,89,0.006525405088349586
table,87,0.00637876677175746
mind,84,0.006158809296869272
philosophy,83,0.006085490138573209
acquaintance,78,0.005718894347092896
experience,78,0.005718894347092896
space,73,0.005352298555612581
acquainted,69,0.00505902192242833
proposition,61,0.004472468656059828
time,60,0.004399149497763766
1,60,0.004399149497763766
question,59,0.004325830339467703
universals,59,0.004325830339467703
nature,58,0.00425251118117164
colour,56,0.004105872864579515
priori_,56,0.004105872864579515
_a,56,0.004105872864579515
terms,55,0.004032553706283452
exist,54,0.003959234547987389
existence,54,0.003959234547987389
principle,54,0.003959234547987389
reason,53,0.0038859153896913263
law,53,0.0038859153896913263
real,52,0.0038125962313952638
view,51,0.003739277073099201
minds,50,0.0036659579148031383
truths,49,0.0035926387565070753
principles,49,0.0035926387565070753
called,49,0.0035926387565070753
beliefs,48,0.0035193195982110123
chapter,47,0.00344600043991495
matter,46,0.003372681281618887
description,45,0.0032993621233228243
sort,42,0.003079404648434636
relations,42,0.003079404648434636
judgement,40,0.0029327663318425103
doubt,38,0.002786128015250385
word,38,0.002786128015250385
people,38,0.002786128015250385
ideas,36,0.0026394896986582594
form,36,0.0026394896986582594
suppose,35,0.002566170540362197
philosophers,34,0.002492851382066134
common,34,0.002492851382066134
instance,34,0.002492851382066134
complex,33,0.0024195322237700713
mental,33,0.0024195322237700713
person,33,0.0024195322237700713
laws,33,0.0024195322237700713
exists,33,0.0024195322237700713
certainty,32,0.0023462130654740084
idea,31,0.0022728939071779454
science,31,0.0022728939071779454
universe,31,0.0022728939071779454
sun,31,0.0022728939071779454
self-evidence,31,0.0022728939071779454
propositions,30,0.002199574748881883
life,30,0.002199574748881883
logic,30,0.002199574748881883
universal,30,0.002199574748881883
falsehood,28,0.0020529364322897574
actual,28,0.0020529364322897574
cassio,28,0.0020529364322897574
false,27,0.0019796172739936944
electronic,27,0.0019796172739936944
foundation,27,0.0019796172739936944
answer,27,0.0019796172739936944
particulars,26,0.0019062981156976319
future,26,0.0019062981156976319
prove,26,0.0019062981156976319
questions,26,0.0019062981156976319
argument,26,0.0019062981156976319
body,25,0.0018329789574015691
subject,25,0.0018329789574015691
regard,25,0.0018329789574015691
desdemona,25,0.0018329789574015691
shape,24,0.0017596597991055062
memory,23,0.0016863406408094434
judgements,23,0.0016863406408094434
difficult,23,0.0016863406408094434
aware,23,0.0016863406408094434
believing,23,0.0016863406408094434
logical,22,0.0016130214825133807
light,22,0.0016130214825133807
supposed,22,0.0016130214825133807
tree,22,0.0016130214825133807
senses,22,0.0016130214825133807
instances,22,0.0016130214825133807
self-evident,22,0.0016130214825133807
theory,22,0.0016130214825133807
consists,21,0.001539702324217318
intuitive,21,0.001539702324217318
private,21,0.001539702324217318
berkeley,21,0.001539702324217318
understand,20,0.0014663831659212552
degree,20,0.0014663831659212552
copyright,20,0.0014663831659212552
sensations,20,0.0014663831659212552
probable,20,0.0014663831659212552
kant,19,0.0013930640076251924
result,19,0.0013930640076251924
property,19,0.0013930640076251924
agreement,19,0.0013930640076251924
inductive,19,0.0013930640076251924
contradiction,19,0.0013930640076251924
definite,19,0.0013930640076251924
independent,19,0.0013930640076251924
mortal,19,0.0013930640076251924
connexion,19,0.0013930640076251924
red,19,0.0013930640076251924
so-and-so,19,0.0013930640076251924
proved,18,0.0013197448493291297
account,18,0.0013197448493291297
probability,18,0.0013197448493291297
loves,18,0.0013197448493291297
united,18,0.0013197448493291297
othello,18,0.0013197448493291297
reasons,18,0.0013197448493291297
deduced,18,0.0013197448493291297
sensation,18,0.0013197448493291297
license,18,0.0013197448493291297
mere,18,0.0013197448493291297
conclusion,17,0.001246425691033067
sense-datum,17,0.001246425691033067
involved,17,0.001246425691033067
single,17,0.001246425691033067
appears,17,0.001246425691033067
held,17,0.001246425691033067
applies,17,0.001246425691033067
data,17,0.001246425691033067
derived,17,0.001246425691033067
plain,17,0.001246425691033067
wholly,17,0.001246425691033067
believes,17,0.001246425691033067
sight,16,0.0011731065327370042
reality,16,0.0011731065327370042
white,16,0.0011731065327370042
properties,16,0.0011731065327370042
arguments,16,0.0011731065327370042
whiteness,16,0.0011731065327370042
concerned,16,0.0011731065327370042
attempt,16,0.0011731065327370042
capable,16,0.0011731065327370042
definition,16,0.0011731065327370042
error,16,0.0011731065327370042
inference,15,0.0010997873744409414
evident,15,0.0010997873744409414
appearance,15,0.0010997873744409414
induction,15,0.0010997873744409414
feel,15,0.0010997873744409414
derivative,15,0.0010997873744409414
impossible,15,0.0010997873744409414
absolute,15,0.0010997873744409414
bismarck,15,0.0010997873744409414
donations,15,0.0010997873744409414
experiences,15,0.0010997873744409414
premisses,15,0.0010997873744409414
